id,orderShopId,orderName,orderNameOrig,hint,hintOrig,fragmentName,fragmentNameOrig,fragmentCount,fragmentColor,clearRewardName,clearRewardNameOrig,firstClearRewardAmount,clearRewardAmount,stars,unlockCondition,reacceptable
63,43,Order of artist vol. row H,アーティスト編 は行推し,Play musics which artist name start with row H,「は行」で始まるアーティスト名の楽曲をプレー,Artist name row H fragment,アーティストは行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
64,44,Order of artist vol. row M,アーティスト編 ま行推し,Play musics which artist name start with row M,「ま行」で始まるアーティスト名の楽曲をプレー,Artist name row M fragment,アーティストま行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
65,45,Order of artist vol. row Y,アーティスト編 や行推し,Play musics which artist name start with row Y,「や行」で始まるアーティスト名の楽曲をプレー,Artist name row Y fragment,アーティストや行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
66,46,Order of artist vol. row R,アーティスト編 ら行推し,Play musics which artist name start with row R,「ら行」で始まるアーティスト名の楽曲をプレー,Artist name row R fragment,アーティストら行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
67,47,Order of artist vol. row W,アーティスト編 わ行推し,Play musics which artist name start with row W,「わ行」で始まるアーティスト名の楽曲をプレー,Artist name row W fragment,アーティストわ行のかけら,15,orange,Stamp ticket,スタンプチケット,3,1,2,"{""anyOrdersCleared"":[24,25,26]}",TRUE
68,48,Order of artist vol. VENUS,アーティスト編 VENUS推し,Play musics composed by VENUS,VENUSの楽曲をプレー,VENUS fragment,VENUSのかけら,25,orange,Stamp ticket,スタンプチケット,4,2,3,"{""anyOrdersCleared"":[58,59,60,61,62,63,64,65,66,67]}",TRUE
69,49,Order of artist vol. MAX MAXIMIZER,アーティスト編 マキシマイザー推し,Play musics composed by MAX MAXIMIZER,MAX MAXIMIZERの楽曲をプレー,MAX MAXIMIZER fragment,MAX MAXIMIZERのかけら,30,orange,Stamp ticket,スタンプチケット,5,2,4,{"anyOrdersCleared":[68]},TRUE
70,142,Test your might "REFLEC BEAT" primary 1st,腕試し編・初代 初級1ST,Clear level 6 musics of REFLEC BEAT,初代REFLEC BEATの楽曲でレベル6の楽曲をクリア,Test your might primary 1 fragment,腕試し初級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,2,{},FALSE
71,143,Test your might "REFLEC BEAT" primary 2nd,腕試し編・初代 初級2ND,Clear level 4 musics of REFLEC BEAT with full combo,初代REFLEC BEATの楽曲でレベル4の楽曲をフルコンボクリア,Test your might primary 2 fragment,腕試し初級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,2,{"anyOrdersCleared":[70]},FALSE
72,144,Test your might "REFLEC BEAT" primary final,腕試し編・初代 初級FINAL,Clear level 8 musics of REFLEC BEAT,初代REFLEC BEATの楽曲でレベル8の楽曲をクリア,Test your might primary 3 fragment,腕試し初級3のかけら,15,red,Byword left part "REFLEC BEAT primary",通り名 前パーツ「初代初級の」,1,0,2,{"anyOrdersCleared":[71]},FALSE
73,145,Test your might "REFLEC BEAT" intermediate 1st,腕試し編・初代 中級1ST,Clear level 7 musics of REFLEC BEAT with AA rank or above,初代REFLEC BEATの楽曲でレベル7の楽曲をランクAA以上でクリア,Test your might intermediate 1 fragment,腕試し中級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,3,{},FALSE
74,146,Test your might "REFLEC BEAT" intermediate 2nd,腕試し編・初代 中級2ND,Clear level 10 musics of REFLEC BEAT,初代REFLEC BEATの譜面でレベル10の楽曲をクリア,Test your might intermediate 2 fragment,腕試し中級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,3,{"anyOrdersCleared":[73]},FALSE
75,147,Test your might "REFLEC BEAT" intermediate final,腕試し編・初代 中級FINAL,Clear FLOWER (HARD),FLOWERのHARDをクリア,Test your might intermediate 3 fragment,腕試し中級3のかけら,10,red,Byword left part "REFLEC BEAT intermediate",通り名 前パーツ「初代中級の」,1,0,3,{"anyOrdersCleared":[74]},FALSE
76,148,Test your might "REFLEC BEAT" advanced 1st,腕試し編・初代 上級1ST,Clear level 9 musics of REFLEC BEAT with AA rank or above,初代REFLEC BEATの楽曲でレベル9の楽曲をランクAA以上でクリア,Test your might advanced 1 fragment,腕試し上級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,4,{},FALSE
77,149,Test your might "REFLEC BEAT" advanced 2nd,腕試し編・初代 上級2ND,Clear level 6 musics of REFLEC BEAT with AAA rank or above,初代REFLEC BEATの楽曲でレベル6の楽曲をランクAAA以上でクリア,Test your might advanced 2 fragment,腕試し上級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,4,{"anyOrdersCleared":[76]},FALSE
78,150,Test your might "REFLEC BEAT" advanced 3rd,腕試し編・初代 上級3RD,Clear level 10+ musics of REFLEC BEAT with AA rank or above,初代REFLEC BEATの楽曲でレベル10+の楽曲をランクAA以上でクリア,Test your might advanced 3 fragment,腕試し上級3のかけら,15,red,Stamp ticket,スタンプチケット,5,0,4,{"anyOrdersCleared":[77]},FALSE
79,151,Test your might "REFLEC BEAT" advanced final,腕試し編・初代 上級FINAL,Clear Sakura Reflection (HARD),Sakura ReflectionのHARDをランクAAA以上でクリア,Test your might advanced 4 fragment,腕試し上級4のかけら,10,red,Byword left part "REFLEC BEAT advanced",通り名 前パーツ「初代上級の」,1,0,4,{"anyOrdersCleared":[78]},FALSE
80,152,Test your might "REFLEC BEAT" elite 1st,腕試し編・初代 超上級1ST,Clear level 10 musics of REFLEC BEAT with full combo,初代REFLEC BEATの楽曲でレベル10の楽曲をフルコンボクリア,Test your might elite 1 fragment,腕試し超上級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,5,{},FALSE
81,153,Test your might "REFLEC BEAT" elite 2nd,腕試し編・初代 超上級2ND,Clear THE FALLEN (HARD) with AAA rank or above,THE FALLENのHARDをランクAAA以上でクリア,Test your might elite 2 fragment,腕試し超上級2のかけら,10,red,Stamp ticket,スタンプチケット,4,0,5,{"anyOrdersCleared":[80]},FALSE
82,154,Test your might "REFLEC BEAT" elite 3rd,腕試し編・初代 超上級3RD,Clear Broken (HARD) with AAA+ rank,BrokenのHARDをランクAAA+でクリア,Test your might elite 3 fragment,腕試し超上級3のかけら,10,red,Stamp ticket,スタンプチケット,5,0,5,{"anyOrdersCleared":[81]},FALSE
83,155,Test your might "REFLEC BEAT" elite final,腕試し編・初代 超上級FINAL,Clear DEADLOCK (HARD) with AAA+ rank,DEADLOCKのHARDをランクAAA+でクリア,Test your might elite 4 fragment,腕試し超上級4のかけら,10,red,Byword left part "REFLEC BEAT elite",通り名 前パーツ「初代超上級の」,1,0,6,{"anyOrdersCleared":[82]},FALSE
84,226,Test your might "REFLEC BEAT" legendary,腕試し編・初代 伝説級,Clear DEADLOCK (HARD) with AAA+ rank and fullcombo,DEADLOCKのHARDをランクAAA+でフルコンボクリア,Test your might legendary fragment,腕試し伝説級のかけら,1,red,Byword left part "REFLEC BEAT legendary",通り名 前パーツ「初代伝説級の」,1,0,7,{"anyOrdersCleared":[83]},FALSE
85,156,Test your might "limelight" primary 1st,腕試し編・ライムライト 初級1ST,Clear level 5 musics of REFLEC BEAT limelight with AA rank or above,REFLEC BEAT limelightの楽曲でレベル5の楽曲をランクAA以上でクリア,Test your might primary 1 fragment,腕試し初級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,2,{},FALSE
86,157,Test your might "limelight" primary 2nd,腕試し編・ライムライト 初級2ND,Clear level 6 musics of REFLEC BEAT limelight with AA rank or above,REFLEC BEAT limelightの楽曲でレベル6の楽曲をランクAA以上でクリア,Test your might primary 2 fragment,腕試し初級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,2,{"anyOrdersCleared":[85]},FALSE
87,158,Test your might "limelight" primary final,腕試し編・ライムライト 初級FINAL,Clear level 8 musics of REFLEC BEAT limelight,REFLEC BEAT limelightの楽曲でレベル8の楽曲をクリア,Test your might primary 3 fragment,腕試し初級3のかけら,15,red,Byword left part "Limelight primary",通り名 前パーツ「二代初級の」,1,0,2,{"anyOrdersCleared":[86]},FALSE
88,159,Test your might "limelight" intermediate 1st,腕試し編・ライムライト 中級1ST,Clear level 9 musics of REFLEC BEAT limelight,REFLEC BEAT limelightの楽曲でレベル9の楽曲をクリア,Test your might intermediate 1 fragment,腕試し中級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,3,{},FALSE
89,160,Test your might "limelight" intermediate 2nd,腕試し編・ライムライト 中級2ND,Clear level 7 musics of REFLEC BEAT limelight with full combo,REFLEC BEAT limelightの楽曲でレベル7の楽曲をフルコンボクリア,Test your might intermediate 2 fragment,腕試し中級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,3,{"anyOrdersCleared":[88]},FALSE
90,161,Test your might "limelight" intermediate final,腕試し編・ライムライト 中級FINAL,Clear DRAGON KILLER (HARD),DRAGON KILLERのHARDをクリア,Test your might intermediate 3 fragment,腕試し中級3のかけら,10,red,Byword left part "Limelight intermediate",通り名 前パーツ「二代中級の」,1,0,3,{"anyOrdersCleared":[89]},FALSE
91,162,Test your might "limelight" advanced 1st,腕試し編・ライムライト 上級1ST,Clear level 7 musics of REFLEC BEAT limelight with AAA rank or above,REFLEC BEAT limelightの楽曲でレベル7の楽曲をランクAAA以上でクリア,Test your might advanced 1 fragment,腕試し上級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,4,{},FALSE
92,163,Test your might "limelight" advanced 2nd,腕試し編・ライムライト 上級2ND,Clear level 8 musics of REFLEC BEAT limelight with AA rank or above and full combo,REFLEC BEAT limelightの楽曲でレベル8の楽曲をランクAA以上でフルコンボクリア,Test your might advanced 2 fragment,腕試し上級2のかけら,15,red,Stamp ticket,スタンプチケット,4,0,4,{"anyOrdersCleared":[91]},FALSE
93,164,Test your might "limelight" advanced 3rd,腕試し編・ライムライト 上級3RD,Clear level 9 musics of REFLEC BEAT limelight with AAA rank or above,REFLEC BEAT limelightの楽曲でレベル9の楽曲をランクAAA以上でクリア,Test your might advanced 3 fragment,腕試し上級3のかけら,15,red,Stamp ticket,スタンプチケット,5,0,4,{"anyOrdersCleared":[92]},FALSE
94,165,Test your might "limelight" advanced final,腕試し編・ライムライト 上級FINAL,Clear Fly to Next World (HARD) with AAA rank or above,Fly to Next WorldのHARDをランクAAA以上でクリア,Test your might advanced 4 fragment,腕試し上級4のかけら,10,red,Byword left part "Limelight advanced",通り名 前パーツ「二代上級の」,1,0,4,{"anyOrdersCleared":[93]},FALSE
95,166,Test your might "limelight" elite 1st,腕試し編・ライムライト 超上級1ST,Clear level 9 musics of REFLEC BEAT limelight with AAA+ rank and full combo,REFLEC BEAT limelightの楽曲でレベル9の楽曲をランクAAA+でフルコンボクリア,Test your might elite 1 fragment,腕試し超上級1のかけら,15,red,Stamp ticket,スタンプチケット,3,0,5,"{""anyOrdersCleared"":[85,86,87,88,89,90,91,92,93,94],""anyOrdersClearedCount"":10}",FALSE
96,167,Test your might "limelight" elite 2nd,腕試し編・ライムライト 超上級2ND,Clear quaver♪ (HARD) with AAA rank or above,quaver♪のHARDをランクAAA以上でクリア,Test your might elite 2 fragment,腕試し超上級2のかけら,10,red,Stamp ticket,スタンプチケット,4,0,5,{"anyOrdersCleared":[95]},FALSE
